Product,Quantity,Source,Price($),Link
Kailh Choc Low Profile Switches 10x,5,Typeractive,35,https://typeractive.xyz/products/choc-switches?variant=45741919273191
Battery Jack,2,Typeractive,2,https://typeractive.xyz/products/battery-jack?variant=46024892186855
Reset Button,2,Typeractive,3,https://typeractive.xyz/products/reset-button?variant=45597784932583
MBK Choc Keycaps 1u 10x,5,Typeractive,20,https://typeractive.xyz/products/mbk-keycaps?variant=48512019562727
Lithium Battery 110mah,2,Typeractive,8,https://typeractive.xyz/products/lithium-battery-110mah?variant=46118748291303
Diodes 50x,1,aliexpress,1,https://www.aliexpress.us/item/3256809437175218.html?spm=a2g0o.cart.0.0.441538datSC0UM&mp=1&pdp_npi=5%40dis%21USD%21USD%2014.08%21USD%200.99%21%21USD%200.99%21%21%21%40210318a717666193235782056e1d7b%2112000049679669844%21ct%21US%21-1%21%211%210&gatewayAdapt=glo2usa
"0.91"" OLED 5x",1,aliexpress,1,https://www.aliexpress.us/item/3256804386173217.html?spm=a2g0o.cart.0.0.441538datSC0UM&mp=1&pdp_npi=5%40dis%21USD%21USD%207.36%21USD%201.36%21%21USD%201.36%21%21%21%40210318a717666193235782056e1d7b%2112000046615178779%21ct%21US%21-1%21%211%210&gatewayAdapt=glo2usa
NRF52840,2,aliexpress,6.6,https://www.aliexpress.us/item/3256808840197195.html?spm=a2g0o.productlist.main.6.67f5TpLLTpLLRv&algo_pvid=1efa9373-c4ca-4c5c-b2fa-ef55075d82dc&algo_exp_id=1efa9373-c4ca-4c5c-b2fa-ef55075d82dc-5&pdp_ext_f=%7B%22order%22%3A%22375%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.92%210.99%21%21%2127.29%216.89%21%402103274e17668502178584103e0e5e%2112000047645063314%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6d1ff32d%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=A1j1sEKQq8uH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009026511947%7C_p_origin_prod%3A
Left & Right PCB + Shipping,5,JLCPCB,27.06,-
,,,,
Total price:103.66$,,,,